('id', (2, 0))
('+', -1)
('=', -1)
('id', (2, 0))
('id', (7, 0))
(',', -1)
('id', (3, 0))
('[', -1)
('id', (9, 0))
(',', -1)
('id', (10, 0))
(',', -1)
('id', (0, 0))
(',', -1)
('id', (1, 0))
(',', -1)
('id', (2, 1))
(',', -1)
('f', -1)
(',', -1)
('id', (12, 0))
(',', -1)
('id', (0, 0))
(',', -1)
('id', (3, 0))
(',', -1)
('id', (4, 0))
(',', -1)
('id', (5, 0))
(',', -1)
('id', (13, 0))
(',', -1)
('id', (14, 0))
(',', -1)
('id', (18, 0))
(',', -1)
('id', (19, 0))
(',', -1)
('id', (20, 0))
(',', -1)
('id', (21, 0))
(',', -1)
('id', (22, 0))
(',', -1)
('id', (28, 0))
(',', -1)
('id', (0, 0))
(',', -1)
('id', (1, 0))
(',', -1)
('id', (2, 0))
(',', -1)
('id', (3, 0))
(',', -1)
('id', (27, 0))
(',', -1)
('id', (10, 0))
(',', -1)
('id', (11, 0))
(',', -1)
('id', (28, 0))
(',', -1)
('id', (29, 1))
(',', -1)
('id', (30, 1))
(',', -1)
('id', (27, 0))
(',', -1)
('id', (28, 1))
(',', -1)
('id', (29, 1))
(',', -1)
('id', (28, 0))
(',', -1)
('id', (29, 1))
(',', -1)
('id', (26, 0))
(',', -1)
('id', (27, 1))
(',', -1)
('id', (28, 1))
(',', -1)
('id', (23, 0))
(',', -1)
('id', (24, 0))
(',', -1)
('id', (25, 0))
(',', -1)
('id', (26, 0))
(',', -1)
('id', (27, 0))
(',', -1)
('id', (22, 0))
(',', -1)
('id', (23, 0))
(',', -1)
('id', (24, 0))
(',', -1)
('id', (25, 0))
(',', -1)
('id', (26, 0))
(',', -1)
('id', (25, 0))
(',', -1)
('id', (20, 0))
(',', -1)
('id', (21, 0))
(',', -1)
('id', (22, 0))
(',', -1)
('id', (23, 0))
(']', -1)
('*', -1)
('id', (46, 0))
('=', -1)
('id', (46, 0))
('[', -1)
('id', (30, 0))
(',', -1)
('id', (31, 0))
(',', -1)
('id', (32, 0))
(',', -1)
('id', (33, 0))
(',', -1)
('id', (34, 0))
(',', -1)
('f', -1)
(',', -1)
('id', (36, 0))
(',', -1)
('id', (37, 0))
(',', -1)
('id', (38, 0))
(',', -1)
('id', (39, 0))
(',', -1)
('id', (40, 0))
(',', -1)
('id', (41, 0))
(',', -1)
('id', (42, 0))
(',', -1)
('id', (43, 0))
(',', -1)
('id', (44, 0))
(',', -1)
('id', (45, 0))
(',', -1)
('id', (46, 0))
(',', -1)
('id', (47, 0))
(',', -1)
('id', (48, 0))
(',', -1)
('id', (49, 0))
(',', -1)
('id', (50, 0))
(',', -1)
('id', (51, 0))
(',', -1)
('id', (52, 0))
(',', -1)
('id', (53, 0))
(',', -1)
('id', (54, 0))
(',', -1)
('id', (55, 0))
(',', -1)
('id', (65, 0))
(',', -1)
('id', (66, 0))
(',', -1)
('id', (0, 0))
(',', -1)
('id', (1, 0))
(',', -1)
('id', (2, 0))
(',', -1)
('id', (3, 0))
(',', -1)
('id', (4, 0))
(',', -1)
('id', (5, 0))
(',', -1)
('id', (6, 0))
(',', -1)
('id', (7, 0))
(',', -1)
('id', (8, 0))
(',', -1)
('id', (9, 0))
(',', -1)
('id', (10, 0))
(',', -1)
('id', (11, 0))
(',', -1)
('id', (12, 0))
(',', -1)
('id', (13, 0))
(',', -1)
('id', (14, 0))
(',', -1)
('id', (15, 0))
(',', -1)
('id', (16, 0))
(',', -1)
('id', (17, 0))
(',', -1)
('id', (18, 0))
(',', -1)
('id', (19, 0))
(',', -1)
('id', (20, 0))
(',', -1)
('id', (21, 0))
(',', -1)
('id', (22, 0))
(',', -1)
('id', (23, 0))
(']', -1)
(',', -1)
('id', (47, 0))
('[', -1)
('const', (4, 0))
(',', -1)
('const', (5, 0))
(',', -1)
('const', (6, 0))
(',', -1)
('const', (7, 0))
(',', -1)
('const', (8, 0))
(',', -1)
('const', (9, 0))
(',', -1)
('const', (10, 0))
(',', -1)
('const', (0, 0))
(',', -1)
('const', (4, 0))
(',', -1)
('const', (5, 0))
(']', -1)
('*', -1)
('id', (47, 0))
('=', -1)
('id', (47, 0))
('[', -1)
('const', (9, 0))
(',', -1)
('const', (10, 0))
(',', -1)
('const', (11, 0))
(',', -1)
('const', (12, 0))
(',', -1)
('const', (0, 0))
(',', -1)
('const', (1, 0))
(',', -1)
('const', (2, 0))
(',', -1)
('const', (3, 0))
(',', -1)
('const', (4, 0))
(',', -1)
('const', (5, 0))
(']', -1)
